"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1414737",1,2,0,0,0,4,2,1,3,2,0
"1647476",0,11,0,6,2,5,6,2,3,2,9
"1458831",0,3,1,2,0,1,2,1,0,1,5
"10702",0,5,1,1,0,1,6,2,1,0,3
"1690818",0,2,1,5,0,0,2,3,4,2,1
"2601610",0,0,4,6,3,5,1,4,4,5,2
"981330",0,5,2,5,1,2,2,5,4,1,4
"2315704",0,0,0,0,0,0,0,0,0,0,2
"1647304",0,2,2,2,0,0,3,2,0,0,4
"1647470",0,1,0,0,0,2,0,2,4,0,0
"416419",0,3,1,3,0,0,4,1,2,1,2
"2517971",0,1,4,4,0,1,0,2,0,0,4
"1647472",1,0,0,0,0,2,1,2,0,0,0
"691963",2,2,1,2,2,3,1,3,3,0,2
"754066",0,1,1,3,0,2,1,1,3,4,3
"2182360",0,2,3,0,2,5,0,2,4,1,6
"984175",0,0,0,0,0,0,0,0,0,0,0
"1647474",0,0,0,1,1,1,0,2,4,1,3
"1664246",0,1,0,1,0,0,1,1,1,0,0
"1887644",0,0,0,1,0,0,0,4,4,0,0
"1838072",1,1,0,0,0,1,1,3,0,0,0
"1821559",1,0,0,1,0,1,0,4,0,5,0
"1805457",1,0,1,3,0,1,1,3,3,2,1
"1821563",0,0,0,1,0,1,0,0,2,0,1
"2591211",0,1,0,0,0,0,1,0,0,1,0
"2591031",1,1,0,0,0,1,2,3,0,0,1
"2593268",0,1,0,0,0,0,0,0,2,1,1
"2599838",0,0,0,0,1,0,0,0,1,0,0
"2599845",0,0,0,1,0,0,0,0,0,0,0
"1527493",0,1,1,3,1,0,0,3,1,0,2
"1109717",0,1,0,2,0,1,1,1,0,1,0
"1308863",0,1,0,0,0,1,0,0,0,0,0
"1109712",0,6,0,2,2,3,2,2,2,5,2
"45764",1,1,1,1,0,6,2,5,3,0,1
"2315475",0,0,0,0,0,0,0,0,0,0,0
"1089121",1,1,0,3,2,1,2,0,5,0,3
"1838062",0,0,2,1,0,1,2,1,0,1,0
"2283304",0,0,0,2,0,0,0,0,0,1,1
"1071177",0,0,0,0,0,0,0,0,0,0,0
"1414742",0,0,0,0,0,1,0,3,1,1,0
"1589748",0,0,0,2,0,0,0,1,1,0,1
"2729575",0,0,2,0,1,0,0,2,1,1,0
"2126925",0,2,0,1,0,1,0,1,0,0,5
"909297",0,0,0,0,0,1,1,1,0,0,0
"984186",0,0,0,0,0,0,0,0,0,0,0
"2743909",0,2,0,3,0,2,1,3,0,1,2
"1538804",0,0,1,0,0,0,0,0,0,1,0
"2250336",0,0,0,10,0,0,0,0,1,0,0
"2571253",0,0,0,1,1,0,0,0,0,0,0
"2557579",0,1,0,0,0,0,0,0,0,0,0
"2250352",0,1,0,3,0,3,0,0,0,2,0
"2283249",0,0,0,0,0,0,0,0,0,0,0
"2507858",0,1,0,2,0,0,0,0,0,0,0
"2507854",0,0,0,0,0,0,0,0,1,0,1
"2488789",0,0,0,1,0,0,0,3,1,0,0
"2419978",0,0,0,0,0,1,0,2,0,1,0
"691966",0,0,1,9,0,0,0,0,0,0,0
"2696356",0,0,0,0,0,0,0,0,0,0,0
"1458863",0,0,0,0,0,0,0,0,0,0,0
"2742114",0,0,0,1,0,0,0,0,0,0,1
"747763",0,0,0,0,0,1,1,1,3,1,2
"753085",1,2,0,0,0,0,0,0,0,0,0
"2686278",0,0,0,0,0,1,0,0,0,0,0
"754053",0,0,0,2,3,0,0,0,1,0,0
"1643326",0,0,0,0,0,0,0,0,0,0,0
"330398",0,0,0,0,0,0,0,0,0,0,0
"2656526",0,2,0,4,0,1,0,1,1,0,0
"1647471",0,1,0,3,3,1,0,0,1,2,1
"1964565",0,0,0,1,0,1,0,1,2,1,1
"2591132",0,0,0,2,0,1,0,1,0,1,1
"370623",3,1,1,2,1,3,11,6,4,0,6
"1868596",0,0,0,0,0,0,0,0,0,0,0
"2608321",0,0,0,1,0,0,0,0,1,0,0
"1647309",0,1,1,1,0,2,1,2,4,2,3
"322855",0,0,0,0,0,0,0,0,0,0,0
"2601626",0,0,0,1,0,0,0,0,0,0,0
"2599852",0,0,1,1,1,0,1,0,1,1,0
"1327037",0,0,0,0,0,0,2,0,0,0,1
"319522",0,2,1,0,0,0,3,1,2,1,2
"2759389",0,0,0,0,0,0,0,1,1,0,0
"2656540",0,0,1,0,1,0,1,5,3,3,1
"1983555",0,1,0,1,0,1,0,1,3,1,5
"1327970",0,1,0,0,0,0,0,0,0,0,0
"1838081",0,0,0,3,0,2,0,0,0,1,0
"2761110",0,0,0,0,0,0,0,0,0,0,0
"2562717",7,62,34,123,26,73,69,86,86,51,74
"1993872",1,3,0,3,0,1,2,2,4,4,3
"1195070",0,3,0,2,2,7,4,1,2,1,6
"1034114",0,0,0,0,0,1,0,1,0,1,0
"1034152",0,2,0,0,0,3,0,0,0,0,0
"2562522",1,1,0,1,0,1,0,1,2,1,0
"2560593",0,0,1,2,0,0,0,0,0,0,0
"2560591",0,0,1,0,0,0,0,0,1,1,1
"2315863",4,38,24,65,4,32,22,35,41,43,40
"1982898",2,21,8,20,1,14,18,25,21,9,13
"1982900",0,1,2,3,0,4,3,7,4,8,1
"1623295",1,7,0,1,0,4,6,4,5,3,6
"1982897",0,10,5,9,4,12,7,10,5,5,8
"1982899",4,9,0,7,1,8,4,8,5,1,3
"2562661",3,34,14,43,4,29,21,30,41,16,27
"1089129",0,0,0,0,0,2,0,0,0,0,0
"373405",0,1,0,1,1,1,0,0,0,0,0
"1211282",0,0,2,2,0,1,0,1,1,0,1
"1089111",0,1,0,0,0,0,0,0,0,0,1
"1041807",0,0,1,1,0,0,0,0,0,0,0
"1034136",0,0,0,1,0,0,0,0,2,0,0
"1211281",0,0,0,0,0,0,0,0,0,0,0
"1993862",0,0,0,0,0,0,0,0,0,0,0
"1993863",0,1,0,0,0,1,0,0,0,1,1
"1993865",0,0,0,0,0,0,0,0,6,0,1
"1032892",0,1,0,0,0,2,0,0,0,0,0
"1993873",2,0,0,0,0,1,1,1,1,0,0
"2733155",3,16,6,29,4,18,14,23,8,5,18
"2733152",1,8,5,34,3,12,6,18,21,10,19
"2733153",3,13,5,20,2,8,11,11,12,14,17
"2733154",1,12,5,6,0,3,5,6,7,2,10
"1982880",5,16,7,24,2,14,10,9,14,10,18
"1982881",0,3,3,5,2,3,0,0,2,2,2
"1982879",0,3,4,4,1,0,1,4,10,1,7
"1982895",0,6,11,3,0,1,1,5,4,5,9
"2562663",3,11,5,7,0,3,6,13,14,6,12
"2560504",0,1,1,2,0,1,0,2,1,1,0
"2562660",1,12,4,12,2,4,7,15,10,5,23
"1034112",0,0,0,0,0,0,0,0,0,0,0
"1983734",0,5,2,9,2,1,1,0,4,2,8
"1623277",2,4,1,3,2,4,1,2,4,0,4
"2700041",0,0,2,7,0,4,1,0,2,0,7
"1983735",0,1,0,0,0,2,0,0,0,2,2
"1983744",0,5,1,1,1,1,1,4,4,3,6
"1623301",0,0,1,7,0,3,0,2,4,2,2
"2734220",0,1,0,0,0,0,2,0,0,0,0
"2734219",1,1,0,0,0,0,0,1,1,0,0
"1993887",0,0,0,0,0,0,0,0,0,0,0
"1776684",0,0,0,1,0,0,0,0,2,1,1
"2560792",2,0,2,2,3,0,0,3,0,1,1
"1211643",1,12,4,9,1,5,5,8,6,6,6
"2171586",2,3,1,2,1,2,1,2,4,0,1
"1982084",0,0,0,0,0,1,0,0,1,0,0
"1982080",0,0,0,0,0,0,0,0,0,1,0
"2170239",0,1,0,3,0,0,1,1,1,0,2
"2520510",0,1,0,3,0,2,1,2,2,4,1
"2315855",1,1,1,2,4,15,6,1,8,7,8
"2734266",2,1,8,10,0,0,2,1,0,3,8
"2734267",0,3,0,3,0,0,1,2,2,0,1
"2201166",1,0,3,9,0,6,1,1,1,1,4
"1034137",0,0,0,0,0,0,0,0,0,0,0
"2170253",1,0,1,3,4,0,6,2,0,0,3
"1982357",0,4,2,0,1,3,2,2,5,1,4
"1982358",1,2,1,4,0,2,5,2,1,2,2
"1623280",0,1,1,0,1,1,3,0,1,1,0
"2169633",1,4,0,2,1,0,3,2,0,1,1
"2169634",0,1,0,0,0,2,2,4,4,0,2
"205879",0,1,0,1,0,1,1,0,1,0,0
"1034111",0,1,0,1,0,0,0,0,0,0,0
"2233782",0,2,0,1,0,0,1,0,3,1,1
"279383",0,2,4,1,0,0,2,0,2,1,3
"1981048",0,2,0,0,0,0,0,0,0,0,0
"1981049",0,0,0,0,0,0,0,0,0,1,1
"2734268",0,4,2,2,0,3,3,6,3,6,3
"2734242",2,3,2,5,3,7,7,4,0,3,4
"1623285",0,0,0,0,0,0,2,0,5,0,3
"2762717",0,1,0,4,0,1,0,1,1,0,4
"2560595",0,1,0,3,1,2,0,2,3,0,2
"2570373",0,2,1,7,0,1,2,2,5,0,2
"2560688",0,0,2,1,0,2,0,1,1,0,0
"1982747",0,2,2,1,0,2,2,4,5,2,5
"2301302",1,0,1,9,0,1,3,11,4,2,0
"1982746",0,2,1,9,2,1,7,8,3,0,2
"2734243",1,13,0,2,0,3,4,10,11,1,4
"2315856",0,2,2,3,0,0,1,4,3,0,2
"1982102",0,1,2,0,0,3,2,2,0,1,0
"2734251",1,0,0,4,0,0,0,0,1,1,0
"2560847",1,1,0,180,1,1,1,2,0,1,2
"2560848",0,2,0,22,0,2,2,0,1,0,1
"2560509",0,2,1,3,0,1,2,5,5,2,0
"2169611",0,4,1,2,0,2,2,1,6,2,4
"1982563",0,0,1,0,0,0,0,0,0,0,0
"2219090",0,0,0,0,0,0,0,1,0,0,1
"2560513",0,0,0,0,0,0,0,0,0,0,0
"2169635",0,2,0,2,0,4,1,11,3,4,0
"2169636",0,1,4,2,2,2,1,2,4,1,3
"373407",0,0,0,0,0,0,0,0,0,0,0
"2201169",2,2,0,0,1,0,3,2,0,0,0
"2560506",0,2,1,2,0,5,3,4,1,1,5
"2182400",0,1,0,0,1,0,1,1,0,0,0
"2560485",0,1,0,3,0,0,1,2,6,1,0
"2734217",0,3,0,2,0,3,2,1,5,0,2
"2169652",0,3,1,0,0,3,3,1,2,0,1
"2560502",0,2,0,3,0,0,1,1,1,3,2
"2041855",0,0,0,2,0,0,1,1,0,0,0
"2560719",0,1,0,0,0,0,1,0,0,0,1
"2560590",0,0,0,0,1,1,0,0,0,1,0
"2560359",0,4,1,0,0,0,2,2,4,1,0
"2560778",0,5,1,6,1,1,1,1,2,0,1
"1982098",0,3,1,0,0,0,1,1,1,2,2
"2734227",0,1,0,0,0,0,0,2,0,0,0
"2744421",0,1,0,0,0,0,1,0,1,2,4
"2560303",0,0,1,2,0,2,1,1,0,0,0
"2560298",1,1,1,1,0,0,1,3,6,5,2
"2560492",1,0,0,1,0,4,1,1,1,0,0
"2734264",0,2,2,1,0,2,3,1,2,0,3
"2744423",0,3,1,9,0,2,5,1,2,0,3
"1982560",0,0,1,5,0,0,0,1,4,1,0
"2734263",0,1,1,0,0,3,3,2,2,2,2
"1910991",0,3,0,1,0,0,0,0,1,0,1
"1910993",2,1,0,0,0,2,0,4,1,11,0
"2734280",0,0,1,2,0,2,2,2,2,0,1
"2734281",0,1,0,0,0,0,1,0,2,0,8
"2734252",0,1,8,5,0,5,2,2,4,4,5
"2734254",0,2,0,2,0,2,0,1,1,0,2
"2734255",0,1,0,0,0,0,1,0,1,0,3
"2733156",0,1,0,6,1,0,2,0,3,1,2
"2733158",0,0,0,0,0,0,0,1,1,0,0
"2560782",0,1,0,3,0,1,1,1,2,2,1
"2560489",0,0,0,3,0,1,2,1,1,0,4
"1982241",0,0,0,0,0,1,0,0,1,1,0
"2560487",0,1,0,3,0,1,1,0,0,1,1
"2560490",0,0,1,1,0,0,0,0,0,0,0
"2560497",0,0,0,0,0,0,0,0,0,0,0
"2560511",0,0,0,1,0,1,0,0,0,0,0
"2560493",1,2,0,2,0,1,1,3,2,1,0
"2734239",0,0,2,5,4,2,8,4,2,1,3
"2169870",0,1,0,0,0,0,0,0,1,0,2
"2169871",0,0,0,0,0,0,0,0,1,0,0
"2734272",1,0,0,0,0,0,1,2,3,0,2
"2734257",0,0,0,0,0,0,0,0,1,0,0
"2734258",0,1,0,0,0,0,0,2,0,0,1
"2744481",0,2,0,2,0,0,1,1,0,0,3
"2734249",1,0,0,2,1,0,0,0,1,1,1
"2560784",1,0,0,2,1,0,0,0,0,0,1
"2560625",0,1,0,1,0,2,0,1,0,0,0
"2734279",0,2,0,2,0,5,1,3,2,0,0
"2734215",1,0,2,6,0,0,3,3,3,1,1
"2734225",0,0,0,0,0,0,0,0,0,1,27
"2734226",0,0,0,0,0,0,0,0,0,0,0
"2734236",0,2,0,2,0,5,3,3,4,2,5
"2734241",0,0,1,3,0,1,0,1,0,0,2
"2734276",1,1,0,1,1,0,0,1,1,4,1
"2734278",0,1,1,14,3,1,1,1,0,1,3
"2734292",0,2,2,3,0,3,0,3,3,3,1
"2560588",1,2,4,2,0,2,1,2,3,3,2
"2560494",0,0,0,0,0,0,0,0,1,11,0
"2560500",0,0,1,1,1,0,0,3,2,0,3
"2560501",0,1,0,3,1,0,0,1,1,1,0
"2560505",0,2,0,4,1,1,0,1,1,0,3
"2560721",0,2,0,1,0,0,0,0,0,0,0
"2560407",0,3,1,2,2,2,2,4,2,4,4
"2560608",0,0,1,2,0,1,1,3,2,2,0
"2733160",0,0,0,1,0,1,0,1,1,0,0
"2733161",0,0,0,0,0,0,0,0,0,0,0
"2734218",0,1,0,1,0,1,1,0,1,1,0
"2734230",0,2,0,4,0,0,2,1,1,2,0
"2734245",0,0,1,3,0,1,1,7,2,2,1
"2734247",0,0,1,2,0,1,3,1,0,0,2
"2734250",1,3,1,2,0,2,1,0,5,0,0
"1982152",0,0,0,0,1,0,0,1,0,0,0
"1982369",0,1,0,0,1,0,0,3,0,1,2
"466052",0,1,0,0,0,0,0,0,0,0,1
"1982091",0,0,0,0,0,0,0,2,0,1,0
"1982087",0,0,1,4,0,2,1,1,0,0,0
"1982373",0,1,0,0,0,0,1,1,1,0,0
"1982374",0,0,0,0,0,0,0,0,0,0,1
"1982375",0,0,3,1,0,3,1,1,0,0,2
"1909389",0,1,0,1,0,0,0,1,0,1,2
"1982151",3,0,1,1,2,0,0,2,1,0,1
"1982261",0,0,0,1,0,0,0,0,0,0,0
"1982265",0,0,0,0,0,0,0,0,0,0,0
"1982569",1,0,1,3,1,3,1,0,0,0,0
"2050979",0,0,0,4,0,0,0,0,2,0,0
"1982237",0,0,0,0,0,0,0,0,0,0,4
"2560503",0,3,0,0,0,0,0,0,1,0,0
"1623275",0,0,0,2,1,0,0,0,3,0,0
"2560650",0,0,0,1,0,0,0,0,0,0,0
"2734262",1,1,0,0,0,0,0,0,1,0,0
"205872",0,1,0,1,0,0,0,5,4,1,4
"2560139",0,0,0,0,0,0,0,0,0,0,0
"2041859",0,0,0,0,0,0,0,0,0,0,0
"1982363",0,0,1,1,0,0,0,0,0,0,0
"2734214",0,0,0,2,0,3,0,1,0,0,0
"2560360",0,2,1,0,0,0,1,0,0,1,1
"2734244",0,0,0,0,0,0,0,0,0,0,0
"1921712",0,0,0,0,0,0,0,0,0,0,0
"85154",0,0,0,0,0,1,0,0,0,0,0
"2734238",1,1,0,1,0,2,3,0,1,1,0
"2734237",2,0,1,0,0,0,0,1,0,1,0
"2005060",0,2,0,3,1,0,0,0,1,0,3
"2734231",1,0,0,0,0,1,0,0,1,0,0
"2705462",0,0,0,0,0,0,0,0,0,0,0
"2734229",1,0,1,1,0,2,5,6,0,0,5
"2560514",0,1,0,5,0,0,0,2,0,0,2
"1921117",0,0,0,0,0,1,0,0,0,0,0
"1918720",0,0,0,1,0,0,0,0,0,0,0
"2734275",0,0,0,0,0,0,0,0,0,0,0
"1982567",1,0,0,1,0,3,1,1,1,1,4
"2169651",0,0,0,0,0,0,0,0,1,0,0
"2560785",1,5,2,6,3,1,2,2,1,1,1
"2734284",0,2,0,4,1,2,3,7,1,0,1
"2734286",0,0,1,0,0,1,0,0,0,0,1
"2169613",1,1,0,3,0,4,1,1,6,0,7
"2560484",1,0,1,2,0,3,2,1,1,0,1
"2560111",0,0,0,0,0,1,0,0,0,0,0
"2560387",0,0,1,2,0,2,0,0,0,2,1
"2560388",0,0,0,1,0,0,2,1,0,0,0
"1982561",0,0,0,0,0,0,1,0,1,0,0
"1982228",0,0,1,0,0,0,0,1,0,0,1
"374422",0,0,0,0,0,2,0,1,0,0,3
"2734291",1,1,2,1,0,2,0,3,1,0,1
"36343",0,0,0,0,0,0,0,0,0,0,0
"546805",1,7,4,8,1,2,8,7,9,2,6
"1007869",0,2,5,16,20,10,6,15,8,3,10
"2201420",0,0,0,0,0,0,1,0,2,0,1
"1493510",0,0,0,0,0,0,1,0,0,0,0
"2593333",0,0,0,3,0,3,2,1,0,1,2
"1913591",0,2,0,2,0,0,3,0,2,6,0
"1273754",0,0,0,0,0,1,1,0,0,0,1
"1273755",0,1,0,0,1,0,0,2,1,0,1
"1161927",0,1,1,6,0,1,0,0,0,0,0
"2589665",0,0,0,0,0,0,1,0,0,0,1
"2024252",0,0,0,0,0,0,0,0,0,0,0
"1124849",0,1,0,1,0,0,0,0,1,1,2
"2713256",1,3,0,7,0,2,0,0,0,2,1
"1458860",0,0,0,0,0,1,0,0,0,0,0
"1026955",0,1,0,0,0,1,0,0,0,1,0
"1883368",0,0,0,0,0,1,0,2,0,1,1
"929833",0,0,0,0,0,0,0,0,2,0,0
"1567487",0,0,1,0,0,0,1,0,0,0,0
"1079999",0,2,0,1,0,0,0,0,7,0,1
"1003177",0,0,0,0,0,0,0,0,0,0,0
"2547425",0,0,0,1,0,0,0,0,0,0,0
"445685",0,1,0,0,0,0,0,0,0,0,0
"2767570",0,0,1,20,0,1,0,0,1,1,4
"2596673",0,1,0,0,0,0,0,0,0,0,0
"2588520",0,0,0,1,0,0,0,0,2,0,0
"1503929",1,1,3,2,0,0,0,2,3,1,2
"445686",0,0,0,0,0,0,0,0,0,0,2
"407392",0,0,0,1,0,0,0,1,0,0,0
"1892568",0,6,1,11,0,9,11,7,10,1,6
"227470",0,0,0,0,0,0,1,1,1,0,0
"1985325",0,0,0,1,0,2,1,0,0,2,0
"1914165",0,0,0,3,0,1,0,0,1,0,0
"1913652",0,2,0,0,0,2,1,2,1,1,0
"1985329",0,0,0,2,0,1,0,1,0,0,1
"1985328",0,1,0,0,0,0,0,2,3,1,0
"1198137",0,0,0,0,0,2,1,3,0,2,1
"10663",0,1,0,3,1,2,0,3,2,2,0
"1913654",0,2,0,4,0,0,1,2,1,3,2
"1913653",0,1,0,0,1,1,0,1,1,1,0
"1133560",0,3,3,10,0,3,2,3,2,1,3
"2006134",0,0,1,0,0,0,0,0,1,0,2
"1980948",0,0,0,1,0,1,0,0,0,1,0
"2560300",0,1,1,0,0,0,0,2,0,1,3
"2594900",0,4,2,8,1,3,5,7,7,0,9
"1980923",0,3,2,2,0,1,1,3,0,0,3
"2732982",0,0,0,0,0,2,1,2,1,3,1
"2732983",0,0,0,0,0,2,0,1,0,0,0
"2578230",0,0,0,0,0,0,0,0,0,0,0
"2732972",0,0,0,0,0,0,0,0,0,0,0
"2732974",0,0,0,0,0,0,0,0,1,0,0
"260373",0,0,0,0,0,0,0,0,0,0,0
"1966265",0,2,0,2,0,2,1,0,0,0,0
"1914852",0,3,0,0,0,2,0,1,2,0,0
"1914850",1,2,1,2,0,0,0,0,0,0,3
"2508196",0,3,0,3,0,4,1,2,1,1,1
"1198140",0,1,1,0,0,1,1,4,0,0,2
"1985293",0,1,1,0,0,0,1,1,0,1,0
"1984784",0,0,0,0,0,0,0,1,0,0,0
"1984783",0,0,0,1,0,0,0,0,3,0,0
"2560302",0,1,0,3,0,0,0,1,0,0,0
"2562722",1,0,0,1,1,1,1,0,1,5,2
"2520516",0,2,0,5,0,1,0,1,0,0,1
"2734089",0,2,0,2,1,0,0,2,3,0,1
"2560286",1,3,0,0,0,3,2,3,1,1,0
"1980925",0,0,0,2,0,0,2,0,2,0,2
"1980926",0,2,0,5,0,0,1,1,2,0,1
"2734129",0,8,4,11,3,8,5,6,7,2,6
"2560700",0,1,2,2,0,2,2,3,1,1,2
"1198980",0,0,0,0,0,1,0,0,0,0,1
"2734130",0,0,0,0,0,0,0,0,0,0,0
"2738374",0,0,0,1,0,0,0,1,1,0,0
"2752533",0,3,0,1,0,0,0,1,1,0,1
"2734115",0,0,0,1,0,0,0,0,0,2,0
"2560671",0,2,0,1,0,0,0,0,3,1,1
"2734111",0,0,0,2,0,0,0,0,0,0,1
"2560687",0,1,0,0,0,0,0,0,0,0,0
"2169882",1,2,0,1,0,0,3,1,0,1,1
"2169883",0,0,0,1,0,0,3,1,1,1,1
"2734080",0,1,0,1,0,1,0,0,1,0,0
"2734081",0,0,0,0,0,0,0,1,0,0,0
"2560244",0,4,0,0,0,0,0,0,0,0,1
"2560261",0,3,1,3,0,0,1,1,1,0,0
"2734085",0,0,1,0,0,0,1,0,0,0,2
"2560086",0,0,0,0,1,1,0,0,1,0,0
"2560752",0,0,0,0,0,0,0,0,0,0,0
"2560400",0,0,0,0,0,1,0,0,0,2,0
"2560628",0,0,0,2,1,0,0,1,1,0,0
"2752547",0,0,0,1,0,0,0,0,0,1,1
"2734102",0,0,2,0,0,1,0,1,0,0,0
"2734109",0,0,0,1,0,0,1,1,0,1,0
"2733109",0,3,0,0,0,0,0,2,0,1,0
"2734123",0,0,0,0,0,0,1,1,3,1,0
"2562339",0,0,0,0,0,0,0,0,0,0,0
"1980944",0,0,0,0,1,0,3,1,2,1,1
"2738809",0,0,0,1,0,1,0,1,1,0,1
"2734158",0,2,0,1,0,0,0,0,1,2,0
"2560680",0,0,0,1,0,0,0,0,0,2,1
"2560676",0,0,0,0,0,0,0,0,0,0,0
"2733139",0,0,0,0,0,0,0,0,0,2,0
"2734150",0,0,0,0,0,0,1,0,0,0,0
"2560337",0,0,1,6,1,1,0,0,0,0,2
"2560336",0,0,2,1,0,0,1,0,0,1,0
"2560834",0,1,0,0,0,1,1,0,0,0,1
"2734147",1,1,0,2,0,0,0,1,1,3,0
"2734144",0,0,0,3,0,0,2,0,0,0,0
"2734143",0,1,0,0,0,0,0,0,0,0,0
"2752794",0,0,0,2,1,0,0,0,0,0,0
"2734141",0,0,0,0,0,0,0,0,0,0,0
"2734140",0,0,0,2,0,0,1,1,0,2,0
"2734084",0,0,0,0,0,3,0,0,3,1,5
"2752797",0,0,0,2,0,0,0,1,0,0,0
"2734136",0,0,0,0,0,0,0,0,0,0,0
"2734122",0,0,0,0,0,1,1,1,3,2,4
"2560540",0,0,0,0,0,0,0,0,0,0,0
"1980947",0,0,3,0,0,2,0,0,1,0,0
"1984796",0,0,0,0,1,0,0,1,1,0,0
"1925780",0,1,0,0,0,0,0,0,0,0,0
"1922212",0,0,1,0,0,0,1,0,0,0,0
"1921704",0,0,0,0,0,0,0,0,0,0,0
"1984777",0,0,0,3,0,0,1,0,0,0,0
"499235",0,0,0,2,0,0,0,1,0,2,0
"431894",0,0,1,0,0,0,0,1,0,0,1
"1084719",0,0,0,1,0,2,1,0,0,0,0
"2560474",0,0,0,0,0,0,0,0,0,0,0
"2590948",0,2,0,4,3,4,2,2,0,1,3
"2713257",0,1,0,7,0,5,3,1,0,5,5
"2590877",0,0,0,0,0,1,2,1,2,1,1
"1188795",0,4,1,2,0,1,1,1,2,1,0
"2053812",0,3,1,2,0,1,1,0,0,58,1
"754069",0,1,0,1,0,0,0,0,1,0,0
"2053723",0,1,0,0,0,0,0,0,1,3,0
"1131315",0,1,1,1,0,1,0,1,1,0,3
"2565510",0,1,1,3,1,0,2,0,1,0,3
"2182408",0,1,0,1,0,0,0,0,0,4,1
"179237",0,0,0,6,1,1,0,0,0,0,3
"2708562",0,1,1,0,0,0,1,0,0,6,0
"1417599",0,1,0,1,0,0,0,0,0,0,0
"1622116",0,0,0,0,0,0,0,0,0,0,0
"2315703",0,0,0,2,4,1,0,2,0,0,3
"1235689",0,1,0,35,1,1,0,1,0,0,1
"1563661",0,0,1,1,0,0,3,1,1,2,1
"2583039",0,0,0,0,0,0,0,0,0,2,0
"1054968",0,0,0,0,0,0,1,0,5,0,1
"1526550",0,0,0,0,0,0,0,0,0,0,0
"1461743",0,0,0,1,0,0,0,0,0,0,0
"2108116",0,3,0,1,0,0,1,3,0,0,0
"2053813",0,2,0,1,0,0,0,3,0,3,0
"926066",0,0,0,0,0,0,0,0,0,0,0
"2604899",0,1,0,1,0,0,1,1,1,0,0
"1881421",0,0,0,0,0,0,0,0,0,0,0
"1978007",1,4,0,1,2,0,0,0,1,0,1
"644524",1,0,1,4,0,1,2,1,6,4,0
"1195073",0,1,0,3,0,4,0,0,3,2,5
"242527",1,0,1,5,0,6,1,1,2,1,3
"1136535",1,2,1,4,0,1,0,4,2,5,4
"2560611",0,2,0,1,0,0,1,1,1,1,0
"2529391",1,1,1,2,0,4,1,2,0,1,2
"2529390",0,0,0,1,0,0,1,0,0,1,0
"1922330",0,1,0,0,0,0,1,1,0,0,0
"2184035",0,0,0,0,0,0,0,0,0,0,0
"279280",1,6,0,4,0,1,0,1,1,0,3
"2734260",0,0,1,1,0,0,0,0,1,0,1
"2560658",0,1,0,5,7,0,1,0,0,1,0
"2560692",0,1,0,42,26,0,0,0,0,0,0
"2047764",0,0,0,1,0,0,0,0,0,0,0
"1231360",0,0,0,2,0,0,0,0,0,0,0
"2734187",0,1,0,0,0,0,0,0,0,0,0
"388452",0,0,0,0,0,0,0,1,0,0,0
"10752",0,0,0,0,0,0,0,0,0,0,0
"2734191",0,0,0,2,0,1,0,0,0,0,0
"1985720",0,0,0,3,0,0,0,1,1,0,4
"2732686",0,1,0,1,0,1,0,1,2,1,1
"110456",0,0,0,2,2,2,0,0,0,0,0
"2732677",0,2,0,4,1,0,0,0,0,1,0
"2732683",0,1,1,0,1,0,0,0,2,1,2
"477967",2,1,1,3,0,0,0,1,3,0,3
"2732909",0,0,1,0,0,0,0,1,0,0,0
"2732929",2,1,1,2,0,2,1,0,7,1,1
"2732930",0,0,1,0,0,1,0,1,4,0,2
"2731677",0,1,1,0,0,0,0,2,3,0,1
"2731675",0,0,0,0,0,0,0,0,0,0,0
"2733956",0,0,0,1,0,1,1,1,1,0,1
"2733922",1,3,0,0,0,0,0,5,4,0,0
"2733941",0,0,0,1,0,0,0,0,2,2,1
"2733892",0,1,0,0,0,1,0,0,0,0,0
"1985736",0,0,1,0,0,1,0,2,0,0,1
"1985734",0,0,0,0,0,0,0,0,0,0,1
"1985730",0,0,0,0,0,0,3,8,2,1,0
"2733939",0,0,0,0,0,1,0,0,0,0,0
"151528",0,0,0,2,0,0,0,0,0,0,1
"1920774",0,0,0,0,0,0,0,2,1,2,1
"2733946",0,0,0,3,1,1,2,0,8,0,0
"2733945",0,0,0,0,0,0,0,0,0,0,0
"2731928",0,0,0,0,0,0,0,0,0,0,0
"2733920",0,0,0,0,0,0,0,0,0,0,1
"2733937",0,0,0,0,0,0,0,1,1,0,0
"2560657",0,0,0,0,0,0,0,0,1,1,0
"1415145",1,1,0,0,0,0,0,1,0,0,0
"2572874",1,19,7,23,5,15,20,20,23,25,44
"1911929",0,2,0,5,0,0,1,1,1,1,2
"1922327",1,1,0,3,0,3,2,3,1,0,2
